id,"Q1: From a scale 1 to 5, how complex is it to make this food? (Where 1 is the most simple, and 5 is the most complex)",Q2: How many ingredients would you expect this food item to contain?,Q3: In what setting would you expect this food to be served? Please check all that apply,Q4: How much would you expect to pay for one serving of this food item?,Q5: What movie do you think of when thinking of this food item?,Q6: What drink would you pair with this food item?,"Q7: When you think about this food item, who does it remind you of?",Q8: How much hot sauce would you add to this food item?,Label
519638,3,"7 - Flour, Water, Yeast, Olive Oil, Tomato Sauce, Cheese, Basil","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$2 for a slice,Barbie,Sprite,"Parents,Friends",A little (mild),Pizza
627800,2,3-4,"Week day lunch,At a party,Late night snack",5 dollars,hitman,Soda,"Friends,Strangers",A little (mild),Pizza
406863,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",5,Teenage Mutant Ninja Turtles,coke,"Friends,Teachers",,Pizza
726962,4,10,"Week day lunch,Week day dinner,At a party",8-Feb,Spiderman,coke,Friends,,Pizza
628077,2,10,"Week day lunch,Weekend lunch,At a party,Late night snack",$5 ,Breaking Bad,Soda ,"Parents,Siblings,Friends,Teachers,Strangers",,Pizza
601693,2,6,"Week day dinner,Weekend lunch,Weekend dinner,At a party",$3 ,Mystic Pizza,Diet Coke,"Siblings,Friends",,Pizza
517096,3,3 to 4,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$5 ,Home Alone,Coca Cola,"Siblings,Friends,Teachers",,Pizza
606821,3,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$3 ,Back to the Future,Sprite,"Siblings,Friends,Strangers",,Pizza
455047,3,4,"Week day lunch,Week day dinner,Weekend dinner,At a party",6,,coke,Friends,A moderate amount (medium),Pizza
625576,3,10,"Week day lunch,Week day dinner,At a party,Late night snack",5,Liquorice Pizza,Water,"Siblings,Friends,Teachers",A little (mild),Pizza
715742,2,"Chicken, vege","Week day lunch,Week day dinner,Late night snack",8-12$,"None...

Ok tbf i think of my life at uoft, if life is a movie",lemon tea,"Friends,Strangers",,Shawarma
727333,1,3,"Week day lunch,Weekend lunch",8,action movie,water,Siblings,A little (mild),Shawarma
606874,3,10,"Week day lunch,Week day dinner,Late night snack",$10 ,The Dictator,Juice,Friends,A moderate amount (medium),Shawarma
606929,3,about three ,Weekend lunch,10 dollor,dragon,coke,Friends,A moderate amount (medium),Shawarma
609789,3,4,Week day lunch,15 dollar,Nothing,Coke,Strangers,A moderate amount (medium),Shawarma
644623,4,5,"Week day lunch,Weekend lunch",7-10 dollars,avengers,,Strangers,,Shawarma
626792,2,13,"Week day lunch,Weekend lunch",13,anjaana anjaani,water,"Friends,Teachers",A lot (hot),Shawarma
714863,2,10,"Week day lunch,Weekend lunch,Late night snack",10,none,juice,Strangers,,Shawarma
497421,2,"At least 3, such as pita, meat, vegetables.","Week day lunch,Weekend lunch,Late night snack",About 20-30 CAD,Argo,Coke,"Friends,Strangers",A moderate amount (medium),Shawarma
389328,3,5,"Week day lunch,Week day dinner,Weekend lunch",$10 ,Transformers,Beer,"Siblings,Friends,Strangers",A lot (hot),Shawarma
289931,5,"6: Wrap, meat, lettuce, tomatoes, sauces, cheese","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$12 ,Aladdin,Pop like Coke,Friends,,Shawarma
387155,3,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12,Squid game,water,"Siblings,Friends",A moderate amount (medium),Shawarma
516975,3,12,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner","$12 - $15

inflation 😩",The Avengers,Ginger ale,"Siblings,Friends",A little (mild),Shawarma
630825,2,4,"Week day lunch,At a party",5 dollar,Titanic,Juice,"Siblings,Friends",,Shawarma
614043,3,5-8 (6 in general),"Week day lunch,Week day dinner,Weekend lunch",8,Avengers 1,Ayran ,"Parents,Friends",A moderate amount (medium),Shawarma
492744,3,8,"Week day lunch,Late night snack",14,The Avengers,Soda,Friends,A lot (hot),Shawarma
618747,2,"Flatbreads, spice, chicken, beef, sauce, oil, lettuce","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",I guess around $9,The Avengers,Soft drinks,Friends,A moderate amount (medium),Shawarma
607815,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10 CAD,The Avengers,Coke,Strangers,A little (mild),Shawarma
601609,3,8,"Week day lunch,Week day dinner,Weekend lunch",10,Fast Furious,Nestea,Parents,A moderate amount (medium),Shawarma
501893,3,"5: Flour, meat, pickles, fries and sour cream","Week day lunch,Week day dinner",CAD10-15,"not sure...maybe Turkish movies? But it will remind me of a game called Shawarma Legend, which is a simulation game and highly recommended!",orange juice,Strangers,A moderate amount (medium),Shawarma
507448,3,potato,"Week day lunch,Weekend lunch",10,The Avengers,Coke,Strangers,A moderate amount (medium),Shawarma
606556,3,3,"Week day lunch,At a party",4 dollars,Dangal,Cola,Friends,,Shawarma
724326,1,Around 6-8,"Week day lunch,Weekend lunch",$12 ,"""Star Wars: Episode V - The Empire Strikes Back""",Water,Friends,,Shawarma
616945,3,5,"Week day lunch,Weekend lunch",8,ratatouille,sprite,Friends,A moderate amount (medium),Shawarma
630962,3,5,"Week day lunch,Weekend lunch,At a party,Late night snack",7.5,Spiderman Into The Spiderverse,Water,"Friends,Strangers",A little (mild),Shawarma
502799,1,6,"Week day lunch,Weekend lunch",$6 ,Slumdog millionaire ,Ice tea,Friends,A little (mild),Shawarma
605278,4,"4 (meat, wrap, veggies, sauce)","Week day lunch,At a party,Late night snack",$7 ,Cleopatra,Sprite,Friends,A moderate amount (medium),Shawarma
519548,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$15 ,The Avengers (2012),Water,"Friends,Strangers",A moderate amount (medium),Shawarma
405521,2,3,"Week day lunch,Week day dinner",15,,mango juice,"Friends,Strangers",A moderate amount (medium),Shawarma
607410,3,5,"Week day lunch,Weekend lunch,At a party,Late night snack",$8 ,The Kite Runner,Coca Cola Zero,"Parents,Friends",A moderate amount (medium),Shawarma
625326,4,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$7 ,The Boys,Lassi,"Friends,Strangers",A little (mild),Shawarma
627220,3,6 to 10,"Week day lunch,Weekend lunch",11 to 14 dollars,Mission Impossible,Coca-cola,"Friends,Strangers",A moderate amount (medium),Shawarma
634964,4,3,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10 ,The Avengers,Coke,Friends,A little (mild),Shawarma
722500,2,4,"Week day lunch,Week day dinner",$7 ,The Avengers ,orange juice,Strangers,A moderate amount (medium),Shawarma
618355,3,8,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",10,dictator,coke,"Friends,Strangers",A moderate amount (medium),Shawarma
611097,2,6,"Week day lunch,Week day dinner",6,The Avengers,coke,Friends,A moderate amount (medium),Shawarma
634328,4,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$12 ,The Avengers,Soda,"Siblings,Friends",A little (mild),Shawarma
607160,1,5,Week day lunch,$8 ,Dangal,Orange juice,Strangers,A moderate amount (medium),Shawarma
718570,2,10,Week day lunch,10,,coke,"Friends,Teachers",A little (mild),Shawarma
601950,4,4,"Week day lunch,Week day dinner,At a party",7,black hawk down,coke,"Friends,Strangers",A little (mild),Shawarma
612478,3,8,"Week day lunch,Weekend lunch,Late night snack",$14 ,Avengers,Diet coke,Friends,A moderate amount (medium),Shawarma
501416,3,Around 8~10 excluding condiments.,"Week day lunch,Weekend lunch,Late night snack",Around $5~15 before tax.,N/A (I don't watch a lot of movies),Soft drink (catbonated or not),"Siblings,Friends,Teachers",A moderate amount (medium),Shawarma
629710,3,15,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$16 ,The Avengers ,Apple juice,"Parents,Siblings,Friends",A little (mild),Shawarma
502610,3,"The meat, the vegetables, the bread,the sauce.","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",10-15$,Alladin,coca cola zero,Friends,A moderate amount (medium),Shawarma
600957,4,11,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$16.00 ,How to lose a guy in 10 days,Water,Parents,A little (mild),Shawarma
713423,3,"about 8 (eggs, rice, some sorts of vegetables, etc.)","Week day lunch,Week day dinner","This is my first time hearing about this food, so I don't really have an idea...","Can't think of any (don't have an idea about the taste of Shawarma, and haven't seen it in any movie that I've watched)",juice?,Strangers,I will have some of this food item with my hot sauce,Shawarma
633234,4,5,"Week day lunch,Weekend lunch,Late night snack",$8 ,Babylon,Iced Tea,Friends,A lot (hot),Shawarma
148179,3,10,"Week day lunch,Weekend lunch,At a party",15,,Cola,Friends,A moderate amount (medium),Shawarma
715845,3,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$15 ,Dangal,Orange juice,Strangers,A little (mild),Shawarma
632153,4,Around 6,"Week day lunch,Weekend lunch,Late night snack",At most $12,Avengers,Sprite,"Friends,Strangers",I will have some of this food item with my hot sauce,Shawarma
606552,3,6,"Week day lunch,Week day dinner,Late night snack",15,Lord of the rings,Nestea,"Parents,Siblings,Strangers",A little (mild),Shawarma
738409,3,8,Week day lunch,10,,Water,Friends,A little (mild),Shawarma
612096,3,7,"Week day lunch,Late night snack",6,Aladdin,Coke,"Friends,Strangers",A lot (hot),Shawarma
743537,4,5,"Week day lunch,Weekend lunch",10 dollar,The Avengers (2012),Sprite,Siblings,,Shawarma
605207,4,5,"Week day lunch,Weekend lunch",$10 ,Avengers,Water,Parents,A little (mild),Shawarma
719554,3,3,Week day lunch,$6 ,,,Strangers,A little (mild),Shawarma
411315,3,5,"Week day lunch,Late night snack",6,Borat,coke,"Friends,Teachers",A lot (hot),Shawarma
631507,4,7,"Week day lunch,Weekend lunch",At most 10 dollars,The Avengers (2012),Soda,Friends,A little (mild),Shawarma
712093,3,7,"Week day lunch,Week day dinner,Weekend lunch,At a party,Late night snack",10$,Harold and Kumar,Coca Cola,"Parents,Friends",A moderate amount (medium),Shawarma
627488,2,12,"Week day lunch,Weekend lunch",$10 ,Gossip Girl,Soda,"Friends,Strangers",A moderate amount (medium),Shawarma
626493,2,7,"Week day lunch,Weekend lunch,Late night snack",10,The Avengers,Apple Juice,"Friends,Strangers",A moderate amount (medium),Shawarma
601363,4,10-12,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",$8-$15,Monty Python,Ayran,"Siblings,Friends,Strangers",A lot (hot),Shawarma
712898,3,9,"Week day lunch,Week day dinner,Weekend lunch",7,The Avengers,Nestea,Friends,A little (mild),Shawarma
603398,4,5-7,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",7 - 10 CAD,Avengers,Lemon Mint Juice,"Parents,Siblings",A moderate amount (medium),Shawarma
631012,3,11,"Week day lunch,Weekend dinner",11,Khabi Khushi Khabi Gham,Diet Coke,"Siblings,Friends",A moderate amount (medium),Shawarma
601848,2,5,Week day lunch,$9 ,Mission: Impossible – Dead Reckoning Part One,Iced lemon tea,Strangers,,Shawarma
612131,2,7,"Week day lunch,Weekend lunch",$2 ,Avengers Endgame,Mineral water,Friends,A moderate amount (medium),Shawarma
632091,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",12-14$ per wrap.,no movie,a can of soda,"Siblings,Friends",A lot (hot),Shawarma
601122,4,12,"Week day lunch,Weekend lunch,Late night snack",10,The Avengers,Coke,"Parents,Friends",A moderate amount (medium),Shawarma
602871,3,3,Week day lunch,6 cad,The Avengers,Coke,Friends,,Shawarma
520828,4,4,"Week day lunch,Week day dinner,Weekend lunch,Late night snack",10,The Avengers,Water,Friends,A moderate amount (medium),Shawarma
389697,2,10,"Week day lunch,Weekend lunch",8,,"Water

Fruit juice/smoothie

Sparkling water

Soft drinks",Friends,A little (mild),Shawarma
612567,2,4,Week day lunch,$6 ,Dune,Juice,Strangers,,Shawarma
744468,3,5,"Week day lunch,Week day dinner,Weekend lunch",$5 ,Avengers,Orange Fanta,"Parents,Siblings",,Shawarma
519681,4,20,"Week day lunch,Weekend lunch",10,Parasite,Diet Coke,Strangers,A moderate amount (medium),Shawarma
631125,4,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",10,The Avengers,Coke,Parents,A moderate amount (medium),Shawarma
627252,4,15,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$8 ,None come to mind,Water,"Friends,Strangers",A moderate amount (medium),Shawarma
603838,3,10,"Week day lunch,Week day dinner",6,The Avengers,Lemonade,Friends,A little (mild),Shawarma
719735,5,"1. Pita wrap

2. Meat 

3. Lettuce

4. Tomato

5. Onions

6. Sauce

 ","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$10 ,,Water,"Friends,Teachers,Strangers",A lot (hot),Shawarma
608062,3,7,Week day lunch,$12 ,Batman the dark knight ,Mango juice,Friends,A moderate amount (medium),Shawarma
608704,5,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10 ,The Avengers,Coke,Friends,A lot (hot),Shawarma
520383,3,"A variable number of ingredients, maybe around 6?","Week day lunch,Week day dinner,Weekend lunch",$11 ,I don't think of a movie when thinking of this food item,Water,"Friends,Strangers",A lot (hot),Shawarma
603793,2,10,"Week day lunch,Weekend lunch",20,the avengers,water,"Parents,Friends,Teachers",A lot (hot),Shawarma
603933,4,6-10 ingredients,At a party,15 dollars,The Avengers,sprite,Strangers,,Shawarma
605519,3,8,"Week day lunch,Weekend lunch,Late night snack",8 dollars,The mummy,Water,"Parents,Siblings,Strangers",A lot (hot),Shawarma
524803,3,4 or more,"Week day lunch,Week day dinner,Late night snack",$7.00+,The Dictator,Beer,"Friends,Strangers",A little (mild),Shawarma
629712,2,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",14,Taxi Driver,Nestea,"Siblings,Friends",A little (mild),Shawarma
526131,5,"I would expect it to have:

* A wrap

* Lettuce

* Beef or Chicken

* Sauce","Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",I would expect to pay about $8 for one serving. This is based on how much I usually have to pay.,"I've never had them before attending U of T, so I don't associate them with anything.","I would pair it with water, since they often have a lot of fat and I wouldn't want to also take soft drinks on top of it.","Friends,Strangers",A moderate amount (medium),Shawarma
607065,3,7,"Week day lunch,Week day dinner,Weekend lunch",12,Avengers,Iced Tea,"Parents,Friends,Strangers",A moderate amount (medium),Shawarma
500077,3,15,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party",$10 ,none,Coke Zero,"Parents,Siblings,Friends",A moderate amount (medium),Shawarma
633350,3,12,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",$11.50 ,The Avengers,"Gingerale

 ","Siblings,Friends",A little (mild),Shawarma
601945,2,6,"Week day lunch,Week day dinner,Late night snack",6 CAD,Deadpool & Wolverine,Diet coke,"Friends,Strangers",A moderate amount (medium),Shawarma
629878,4,5 to 6,"Week day lunch,Week day dinner",$8 to $10,Not sure,Water,"Friends,Teachers,Strangers",A little (mild),Shawarma
712766,4,Minimum of 10 ingredients,"Week day lunch,Weekend lunch,Late night snack",Around 10-20 dollars for one portion,The Avengers,Water,"Parents,Friends,Strangers",A moderate amount (medium),Shawarma
603664,2,8,Week day lunch,16,The Avengers,water,Friends,,Shawarma
840827,4,4,Week day lunch,$10 ,Comedy movie,Water,Parents,,Shawarma
604897,2,6,"Week day lunch,Weekend lunch",13,The Avengers,Lemonade,Friends,A lot (hot),Shawarma
525422,4,6,"Week day lunch,Week day dinner,Weekend lunch",8,Avengers,Water,"Parents,Siblings",A little (mild),Shawarma
602560,2,"I would expect good 7-8 ingredients including veggies, flour, meat and any sauces. ",Week day lunch,It should be cheap maybe at max 12 bucks. ,Probably some niche movie or some movie specific to a country and not an English movie. ,Never personally had shawarma but I'd expect to pair it up with maybe a lemonade or ice tea?,"Parents,Teachers",A lot (hot),Shawarma
622023,5,8,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$10 ,Avengers,Coke Zero,Friends,A lot (hot),Shawarma
604770,3,9,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",11,avengers,no drink,"Parents,Siblings,Friends",,Shawarma
608318,5,7-10,"Week day lunch,Weekend lunch",$10-15,You Don't Mess with the Zohan,Coke,"Parents,Siblings",A moderate amount (medium),Shawarma
626757,2,5,"Week day lunch,Late night snack",10 dollars,Avengers endgame,Pop,Friends,A lot (hot),Shawarma
745297,2,6,"Week day lunch,Weekend lunch",$9 ,Borat,Coke,"Friends,Strangers",A lot (hot),Shawarma
627599,5,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,At a party,Late night snack",$7 ,Avengers,Nestea,"Siblings,Friends",,Shawarma
520037,3,7,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12,Avengers,Pepsi,Friends,A moderate amount (medium),Shawarma
632189,3,6,"Week day lunch,Weekend lunch,Late night snack",5.99,Spider man spider verse,Water,Strangers,,Shawarma
228777,4,10,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",8,Star Wars,sprite ,Strangers,A little (mild),Shawarma
609278,4,8,Week day lunch,$12 ,Aladdin,Sugarcane juice,Friends,,Shawarma
614089,2,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",10 CAD,The Avengers ,Coke,"Siblings,Friends",A moderate amount (medium),Shawarma
607517,3,6,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner,Late night snack",14,Avengers,Fruit Juice,Friends,A moderate amount (medium),Shawarma
497695,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",12,Gladiator,Water,"Friends,Strangers",A moderate amount (medium),Shawarma
608688,4,5,"Week day lunch,Week day dinner,Weekend lunch,Weekend dinner",$10 ,The Avengers,Soda,"Parents,Siblings,Friends",A little (mild),Shawarma
604386,2,4,"Week day lunch,Weekend lunch",10,Avengers,water,Strangers,A little (mild),Shawarma
